UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
MS,AMAMBAI,UNIDADE DE SAUDE DA FAMILIA VILA LIMEIRA,RUA OSCAR TRINDADE,505,VILA LIMEIRA,"RUA OSCAR TRINDADE, VILA LIMEIRA, AMAMBAI, MS, BRASIL",-23.1366,-55.2138,"Rua Oscar Trindade, 79990-000, Amambai","23 8m 11.76s S, 55 12m 49.68s W"
MS,AMAMBAI,POSTO DE SAUDE DO ASSENTAMENTO GUANABARA,RODOVIA AMAMBAI JUTY KM 80,100,AREA RURAL,"RODOVIA AMAMBAI JUTY KM 80, AREA RURAL, AMAMBAI, MS, BRASIL",-19.68445,-51.20145,"Rua Amambaí, 80, 79500-000, Paranaíba","19 41m 4.02s S, 51 12m 5.22s W"
MS,ANASTACIO,POSTO DE SAUDE PULADOR,COLONIA PULADOR,S/N,CENTRO,"COLONIA PULADOR, CENTRO, ANASTACIO, MS, BRASIL",-22.79245,-43.35182,"Rua Maria Soares Sendas & Rua Anastácio Correia, 25581, São João de Meriti","22 47m 32.82s S, 43 21m 6.552s W"
MS,ANASTACIO,ESF MARIA FRANCISCA DE LIMA,RUA CAMPO GRANDE,S/N,JARDIM INDEPENDENCIA,"RUA CAMPO GRANDE, JARDIM INDEPENDENCIA, ANASTACIO, MS, BRASIL",-20.5038439,-55.8004438,"Rua Campo Grande, Jardim Independência, Anastácio, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 30m 13.838s S, 55 48m 1.59768s W"
MS,ANASTACIO,ESF BENTA VIEIRA DE ARRUDA,RUA BAHIA,S/N,VILA MAIOR,"RUA BAHIA, VILA MAIOR, ANASTACIO, MS, BRASIL",-20.4815644,-55.8169551,"Rua Bahia, Vila Maior, Anastácio, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 28m 53.6318s S, 55 49m 1.03836s W"
MS,ANASTACIO,CEM CENTRO DE ESPECIALIDADES MEDICAS,RUA CORONEL PONCE ESQUINA RUA DOM AQUINO,S/N,CENTRO,"RUA CORONEL PONCE ESQUINA RUA DOM AQUINO, CENTRO, ANASTACIO, MS, BRASIL",-20.48072,-55.8063,"Rua Coronel Ponce & Rua Dom Aquino, 79210, Anastácio","20 28m 50.592s S, 55 48m 22.68s W"
MS,ANASTACIO,PSF VILA UMBELINA,RUA CORONEL PONCE ADEMAR DOS SANTOS,S/N,VILA UMBELINA,"RUA CORONEL PONCE ADEMAR DOS SANTOS, VILA UMBELINA, ANASTACIO, MS, BRASIL",-20.48893,-55.79719,"Rua Coronel Ponce & Rua Ademar dos Santos, 79210, Anastácio","20 29m 20.148s S, 55 47m 49.884s W"
MS,ANASTACIO,POSTO DE SAUDE MONJOLINHO,ASSENTAMENTO MONJOLINHO,S/N,CENTRO,"ASSENTAMENTO MONJOLINHO, CENTRO, ANASTACIO, MS, BRASIL",-22.79245,-43.35182,"Rua Maria Soares Sendas & Rua Anastácio Correia, 25581, São João de Meriti","22 47m 32.82s S, 43 21m 6.552s W"
MS,ANASTACIO,ESF ALTOS DA CIDADE,RUA PROFESSORA ESMERALDINA MALHADO,S/N,ALTOS DA CIDADE,"RUA PROFESSORA ESMERALDINA MALHADO, ALTOS DA CIDADE, ANASTACIO, MS, BRASIL",-20.49756,-55.82049,"Rua Professora Esmeraldina Malhado, 79210-000, Anastácio","20 29m 51.216s S, 55 49m 13.764s W"
MS,ANASTACIO,UNIDADE BASICA DE SAUDE ALFREDO GARCIA,RUA SAO PAULO,120,BEMTEVI,"RUA SAO PAULO, BEMTEVI, ANASTACIO, MS, BRASIL",-20.48896,-55.81461,"Rua São Paulo, 79210-000, Anastácio","20 29m 20.256s S, 55 48m 52.596s W"
MS,ANASTACIO,ESF ESTRATEGIA DE SAUDE DA FAMILIA ARAPONGAS,RUA ADAIR GOULART MARTINS,S/N,ARAPONGAS,"RUA ADAIR GOULART MARTINS, ARAPONGAS, ANASTACIO, MS, BRASIL",-20.49332,-55.79668,"Rua Adair Goulart Martins, 79210-000, Anastácio","20 29m 35.952s S, 55 47m 48.048s W"
MS,ANASTACIO,ESF ESTRATEGIA DE SAUDE DA FAMILIA ANASTACIO,DOM AQUINO,S/N,CENTRO,"DOM AQUINO, CENTRO, ANASTACIO, MS, BRASIL",-20.4862515,-55.8117744,"Rua Dom Aquino, Vila Flor, Anastácio, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 29m 10.5054s S, 55 48m 42.3878s W"
MS,ANASTACIO,POSTO DE SAUDE VEREDAO,COLONIA VEREDAO,S/N,CENTRO,"COLONIA VEREDAO, CENTRO, ANASTACIO, MS, BRASIL",-22.79245,-43.35182,"Rua Maria Soares Sendas & Rua Anastácio Correia, 25581, São João de Meriti","22 47m 32.82s S, 43 21m 6.552s W"
MS,ANASTACIO,POSTO DE SAUDE COLONIA PAULISTA,COLONIA PAULISTA,S/N,CENTRO,"COLONIA PAULISTA, CENTRO, ANASTACIO, MS, BRASIL",-23.78945,-54.28242,"Rua Paulista, 79970-000, Eldorado","23 47m 22.02s S, 54 16m 56.712s W"
MS,ANAURILANDIA,UNIDADE BASICA SAUDE EDUARDO F SANTOS,RUA DUQUE DE CAXIAS,1115,CENTRO,"RUA DUQUE DE CAXIAS, CENTRO, ANAURILANDIA, MS, BRASIL",-22.1868991,-52.71920649999999,"Rua Duque de Caxias, Anaurilândia, Região Geográfica Imediata de Nova Andradina, Região Geográfica Intermediária de Dourados, Mato Grosso do Sul, Região Centro-Oeste, Brasil","22 11m 12.8368s S, 52 43m 9.1434s W"
MS,ANAURILANDIA,UNIDADE BASICA DE SAUDE KASUSIQUE UMADA,KASUSIQUE UMADA,1,JARDIM ESPERANCA,"KASUSIQUE UMADA, JARDIM ESPERANCA, ANAURILANDIA, MS, BRASIL",-22.51715,-55.7076,"Jardim Esperança, Ponta Porã","22 31m 1.74s S, 55 42m 27.36s W"
MS,ANAURILANDIA,UNIDADE DE SAUDE DA FAMILIA DR HULDA STABILE CRUZ GONZALES,RUA FLORIANO PEIXOTO,S/N,CENTRO,"RUA FLORIANO PEIXOTO, CENTRO, ANAURILANDIA, MS, BRASIL",-22.1842831,-52.7178661,"Rua Floriano Peixoto, Anaurilândia, Região Geográfica Imediata de Nova Andradina, Região Geográfica Intermediária de Dourados, Mato Grosso do Sul, Região Centro-Oeste, Brasil","22 11m 3.41916s S, 52 43m 4.31796s W"
MS,ANAURILANDIA,ESTRATEGIA SAUDE DA FAMILIA 1 LUIZ RAMIRO DA SILVA,RUA MARANHAO,350,V QUEBRACHO,"RUA MARANHAO, V QUEBRACHO, ANAURILANDIA, MS, BRASIL",-22.01024,-52.51284,"Rua Maranhão, 79770-000, Anaurilândia","22 0m 36.864s S, 52 30m 46.224s W"
MS,ANGELICA,ESF DR MARCIO ROGERIO CAMARGO,RUA BENEDITO FRANCISCO DE AZEVEDO,S/N,DISTRITO DE IPEZAL,"RUA BENEDITO FRANCISCO DE AZEVEDO, DISTRITO DE IPEZAL, ANGELICA, MS, BRASIL",-22.05208,-54.07006,"Rua Benedito Francisco de Azevedo, 79787-000, Angélica","22 3m 7.488s S, 54 4m 12.216s W"
MS,ANGELICA,ESF LAURO DOMINGOS DE SOUZA,RUA GAIVOTA LOTE 5 QUADRA 6,S/N,MUTUM,"RUA GAIVOTA LOTE 5 QUADRA 6, MUTUM, ANGELICA, MS, BRASIL",-15.93796,-47.94515,"SMPW Quadra 17 Conjunto 5 Lote 5, 5, 71741-700, Brasília","15 56m 16.656s S, 47 56m 42.54s W"
MS,ANGELICA,ESF VILA ESPERANCA,AVENIDA PE AQUILINO FRANCISCHET,420,ESPERANCA,"AVENIDA PE AQUILINO FRANCISCHET, ESPERANCA, ANGELICA, MS, BRASIL",-22.15549,-53.76614,"Avenida Padre Aquilino Francischet, Angélica","22 9m 19.764s S, 53 45m 58.104s W"
MS,ANGELICA,ESF CENTRAL,AVENIDA RACHID NEDER,98,CENTRO CIVICO,"AVENIDA RACHID NEDER, CENTRO CIVICO, ANGELICA, MS, BRASIL",-22.15975,-53.77187,"Avenida Rachid Neder, Angélica","22 9m 35.1s S, 53 46m 18.732s W"
MS,ANTONIO JOAO,ESF BRUM DE OLIVEIRA,RUA VALDOMIRO FIGUEIRA,S/N,CENTRO,"RUA VALDOMIRO FIGUEIRA, CENTRO, ANTONIO JOAO, MS, BRASIL",-22.19654,-55.94266,"Rua Waldomiro F. Silva, 79910-000, Antônio João","22 11m 47.544s S, 55 56m 33.576s W"
MS,ANTONIO JOAO,UNIDADE BASICA DE SAUDE DE ANTONIO JOAO,RUA WILMAR MARTINEZ MARQUES,S/N,CENTRO,"RUA WILMAR MARTINEZ MARQUES, CENTRO, ANTONIO JOAO, MS, BRASIL",-22.1914996,-55.9460927,"Rua Doutor Wilmar Martinez Marques, Centro, Antônio João, Região Geográfica Imediata de Ponta Porã, Região Geográfica Intermediária de Dourados, Mato Grosso do Sul, Região Centro-Oeste, Brasil","22 11m 29.3986s S, 55 56m 45.9337s W"
MS,ANTONIO JOAO,ESF TEOFILO TEIXEIRA DA ROSA,RUA FERNANDO SALDANHA,S/N,VILA NOVA,"RUA FERNANDO SALDANHA, VILA NOVA, ANTONIO JOAO, MS, BRASIL",-22.1860961,-55.9518235,"Rua Fernando Saldanha, Vila Nova, Antônio João, Região Geográfica Imediata de Ponta Porã, Região Geográfica Intermediária de Dourados, Mato Grosso do Sul, Região Centro-Oeste, Brasil","22 11m 9.94596s S, 55 57m 6.5646s W"
MS,ANTONIO JOAO,ESF SALVANI SIMPLICIO FREITAS,RUA FERNANDO SALDANHA,240,VILA PENZO,"RUA FERNANDO SALDANHA, VILA PENZO, ANTONIO JOAO, MS, BRASIL",-22.1860961,-55.9518235,"Rua Fernando Saldanha, Vila Nova, Antônio João, Região Geográfica Imediata de Ponta Porã, Região Geográfica Intermediária de Dourados, Mato Grosso do Sul, Região Centro-Oeste, Brasil","22 11m 9.94596s S, 55 57m 6.5646s W"
MS,APARECIDA DO TABOADO,ESF CENTRAL,RUA DUQUE DE CAXIAS,3464,CENTRO,"RUA DUQUE DE CAXIAS, CENTRO, APARECIDA DO TABOADO, MS, BRASIL",-20.0853939,-51.0960429,"Rua Duque de Caxias, Aparecida do Taboado, Região Geográfica Imediata de Paranaíba - Chapadão do Sul - Cassilândia, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, Brasil","20 5m 7.41804s S, 51 5m 45.7544s W"
MS,APARECIDA DO TABOADO,ESF VILA BARBOSA,RUA DOIS DE JANEIRO,3030,CHACARA BOA VISTA,"RUA DOIS DE JANEIRO, CHACARA BOA VISTA, APARECIDA DO TABOADO, MS, BRASIL",-20.08268,-51.10481,"Rua Boa Vista, 79570-000, Aparecida do Taboado","20 4m 57.648s S, 51 6m 17.316s W"
MS,APARECIDA DO TABOADO,ESF JARDIM DAS FLORES,RUA CONFINS,2941,JARDIM AEROPORTO,"RUA CONFINS, JARDIM AEROPORTO, APARECIDA DO TABOADO, MS, BRASIL",-20.07251,-51.09251,"Rua Confins, 79570-000, Aparecida do Taboado","20 4m 21.036s S, 51 5m 33.036s W"
MS,APARECIDA DO TABOADO,ESF VILA PEREIRA,RUA CURITIBA,2658,JARDIM MORUMBI,"RUA CURITIBA, JARDIM MORUMBI, APARECIDA DO TABOADO, MS, BRASIL",-20.0922,-51.1094,"Rua Curitiba, 79570-000, Aparecida do Taboado","20 5m 31.92s S, 51 6m 33.84s W"
MS,APARECIDA DO TABOADO,ESF VILA SAO JERONIMO,RUA SAO PAULO,4822,VILA RODRIGUES,"RUA SAO PAULO, VILA RODRIGUES, APARECIDA DO TABOADO, MS, BRASIL",-20.09282,-51.10729,"Rua São Paulo, 79570-000, Aparecida do Taboado","20 5m 34.152s S, 51 6m 26.244s W"
MS,APARECIDA DO TABOADO,UNIDADE BASICA DE SAUDE MANOEL RODRIGUES DA SILVA,DULQUE DE CAXIAS,3422,CENTRO,"DULQUE DE CAXIAS, CENTRO, APARECIDA DO TABOADO, MS, BRASIL",-20.08212,-51.09663,"Rua Duque de Caxias, Aparecida do Taboado","20 4m 55.632s S, 51 5m 47.868s W"
MS,APARECIDA DO TABOADO,ESF JARDIM DO LAGO,AVENIDA PRESIDENTE VARGAS,4888,JARDIM DO LAGO,"AVENIDA PRESIDENTE VARGAS, JARDIM DO LAGO, APARECIDA DO TABOADO, MS, BRASIL",-20.08771,-51.07137,"Avenida Presidente Vargas, 79570-000, Aparecida do Taboado","20 5m 15.756s S, 51 4m 16.932s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA CIPOLANDIA,RUA JOAO V DO NASCIMENTO,S/N,CIPOLANDIA CENTRO,"RUA JOAO V DO NASCIMENTO, CIPOLANDIA CENTRO, AQUIDAUANA, MS, BRASIL",-20.12801,-55.39598,"Rua João Vitor do Nascimento, 79208-000, Aquidauana","20 7m 40.836s S, 55 23m 45.528s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY,RUA QUINTINO BOCAIUVA,400,GUANANDY,"RUA QUINTINO BOCAIUVA, GUANANDY, AQUIDAUANA, MS, BRASIL",-20.4801964,-55.7831363,"Rua Quintino Bocaiuva, Bairro Guanandy, Aquidauana, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 28m 48.707s S, 55 46m 59.2907s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO,RUA DUQUE DE CAXIAS,2061,ALTO,"RUA DUQUE DE CAXIAS, ALTO, AQUIDAUANA, MS, BRASIL",-20.4712044,-55.7841412,"Rua Duque de Caxias, Bairro Alto, Aquidauana, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 28m 16.3358s S, 55 47m 2.90832s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA SAO PEDRO,RUA PROJETADA 01,1,VILA SAO PEDRO,"RUA PROJETADA 01, VILA SAO PEDRO, AQUIDAUANA, MS, BRASIL",-22.24357,-54.7402,"Rua Projetada Três, 79843-251, Dourados","22 14m 36.852s S, 54 44m 24.72s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA ELCIRIA RITA BRANDES GARCIA,RUA VALDOMIRO CORTADO,1,SAO FRANCISCO,"RUA VALDOMIRO CORTADO, SAO FRANCISCO, AQUIDAUANA, MS, BRASIL",-20.47003,-55.75252,"Rua São Francisco de Assis, 79200-000, Aquidauana","20 28m 12.108s S, 55 45m 9.072s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA VILA TRINDADE,RUA FRANCISCO VIEIRA COUTINHO,36,VILA TRINDADE,"RUA FRANCISCO VIEIRA COUTINHO, VILA TRINDADE, AQUIDAUANA, MS, BRASIL",-20.46164,-55.79686,"Rua Francisco Vieira Coutinho, 79200-000, Aquidauana","20 27m 41.904s S, 55 47m 48.696s W"
MS,AQUIDAUANA,ESTABELECIMENTO PENAL DE AQUIDAUANA,RUA DUQUE DE CAXIAS,0,ALTO,"RUA DUQUE DE CAXIAS, ALTO, AQUIDAUANA, MS, BRASIL",-20.4712044,-55.7841412,"Rua Duque de Caxias, Bairro Alto, Aquidauana, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 28m 16.3358s S, 55 47m 2.90832s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA,RUA ESTEVAO ALVES CORREA,2834,ALTO,"RUA ESTEVAO ALVES CORREA, ALTO, AQUIDAUANA, MS, BRASIL",-20.4739707,-55.7937942,"Rua Estevão Alves Correa, Bairro Alto, Aquidauana, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, 79200-970, Brasil","20 28m 26.2945s S, 55 47m 37.6591s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA,RUA CARLOS FERREIRA BANDEIRA,S/N,SANTA TEREZINHA,"RUA CARLOS FERREIRA BANDEIRA, SANTA TEREZINHA, AQUIDAUANA, MS, BRASIL",-20.4671,-55.76728,"Rua Carlos Ferreira Bandeira, 79200-000, Aquidauana","20 28m 1.56s S, 55 46m 2.208s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA CAMISAO,RUA 01,1,CAMISAO,"RUA 01, CAMISAO, AQUIDAUANA, MS, BRASIL",-20.46303,-55.76643,"Rua Carlos Camisão, 79200-000, Aquidauana","20 27m 46.908s S, 55 45m 59.148s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA MODESTO PEREIRA,RUA ESTEVAO ALVES CORREA,1,TAUNAY,"RUA ESTEVAO ALVES CORREA, TAUNAY, AQUIDAUANA, MS, BRASIL",-20.2912364,-56.0762903,"Rua Estevão alves corrêa, Taunay, Aquidauana, Região Geográfica Imediata de Aquidauana - Anastácio, Região Geográfica Intermediária de Corumbá, Mato Grosso do Sul, Região Centro-Oeste, Brasil","20 17m 28.451s S, 56 4m 34.6451s W"
MS,AQUIDAUANA,UNIDADE DE SAUDE DA FAMILIA VILA PINHEIRO,OVIDIO COSTA,S/N,VILA PINHEIRO,"OVIDIO COSTA, VILA PINHEIRO, AQUIDAUANA, MS, BRASIL",-20.45284,-55.76996,"Rua Ovídio Costa, 79200-000, Aquidauana","20 27m 10.224s S, 55 46m 11.856s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA IZAURA BAES,RUA 10 QD 059 LT 09,9,NOVA AQUIDAUANA,"RUA 10 QD 059 LT 09, NOVA AQUIDAUANA, AQUIDAUANA, MS, BRASIL",-20.4519,-55.7973,"Rua Dez, 10, 79200-000, Aquidauana","20 27m 6.84s S, 55 47m 50.28s W"
MS,AQUIDAUANA,ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA,AVENIDA VICE PREFEITO TIMOTEO PROENCA,S/N,BAIRRO NOVA AQUIDAUA,"AVENIDA VICE PREFEITO TIMOTEO PROENCA, BAIRRO NOVA AQUIDAUA, AQUIDAUANA, MS, BRASIL",-20.44766,-55.79585,"Rua Prefeito Timióteo Proença, 79200-000, Aquidauana","20 26m 51.576s S, 55 47m 45.06s W"
MS,ARAL MOREIRA,UNIDADE BASICA DE SAUDE CIRILLO ROSSATI,TREZE DE MAIO,30,CENTRO,"TREZE DE MAIO, CENTRO, ARAL MOREIRA, MS, BRASIL",-22.94694,-55.62819,"Rua 13 de Maio, 79930-000, Aral Moreira","22 56m 48.984s S, 55 37m 41.484s W"
MS,ARAL MOREIRA,POSTO DE SAUDE VISTA ALEGRE,ASSENTAMENTO SANTA CATARINA,S/N,ZONA RURAL,"ASSENTAMENTO SANTA CATARINA, ZONA RURAL, ARAL MOREIRA, MS, BRASIL",-32.04335,-52.1178,"Rua Santa Catarina, 96211-600, Rio Grande","32 2m 36.06s S, 52 7m 4.08s W"
MS,ARAL MOREIRA,UNIDADE BASICA DE SAUDE UNIAO GUARANI,RUA PRIMEIRO DE MAIO,S/N,VILA UNIAO,"RUA PRIMEIRO DE MAIO, VILA UNIAO, ARAL MOREIRA, MS, BRASIL",39.47121,-8.68267,"Rua Primeiro de Maio, 2380 Alcanena","39 28m 16.356s N, 8 40m 57.612s W"
MS,ARAL MOREIRA,POSTO DE SAUDE NASCIMENTO MIRANDA,ZONA RURAL RIO VERDE,1,ZONA RURAL,"ZONA RURAL RIO VERDE, ZONA RURAL, ARAL MOREIRA, MS, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural, Seabra","12 24m 58.716s S, 41 47m 22.956s W"
MS,ARAL MOREIRA,POSTO DE SAUDE GUASSUTY,ALDEIA INDIGENA GUSSUTY,0,ZONA RURAL,"ALDEIA INDIGENA GUSSUTY, ZONA RURAL, ARAL MOREIRA, MS, BRASIL",,,,
MS,ARAL MOREIRA,POSTO DE SAUDE GENI GUINZANI,VILA SAO LUIS,1,ZONA RURAL,"VILA SAO LUIS, ZONA RURAL, ARAL MOREIRA, MS, BRASIL",-22.55717,-55.69301,"Rua São Pedro, 79906-532, Ponta Porã","22 33m 25.812s S, 55 41m 34.836s W"
